          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 All    0180.c200.0001    STATIC      CPU
 All    0180.c200.0002    STATIC      CPU
 All    0180.c200.0003    STATIC      CPU
 All    0180.c200.0004    STATIC      CPU
 All    0180.c200.0005    STATIC      CPU
 All    0180.c200.0006    STATIC      CPU
 All    0180.c200.0007    STATIC      CPU
 All    0180.c200.0008    STATIC      CPU
 All    0180.c200.0009    STATIC      CPU
 All    0180.c200.000a    STATIC      CPU
 All    0180.c200.000b    STATIC      CPU
 All    0180.c200.000c    STATIC      CPU
 All    0180.c200.000d    STATIC      CPU
 All    0180.c200.000e    STATIC      CPU
 All    0180.c200.000f    STATIC      CPU
 All    0180.c200.0010    STATIC      CPU
 All    ffff.ffff.ffff    STATIC      CPU
3001    0000.0c9f.fbb9    DYNAMIC     Po1
3001    001b.1700.0131    DYNAMIC     Po1
3001    0026.0bea.afb2    DYNAMIC     Po1
3001    7c0e.cef3.e942    DYNAMIC     Po3
3002    0000.0c9f.fbba    DYNAMIC     Po1
3002    001b.1700.0131    DYNAMIC     Po1
3002    0026.0bea.afb2    DYNAMIC     Po1
3002    7c0e.cef3.e942    DYNAMIC     Po3
3003    0000.0c9f.fbbb    DYNAMIC     Po1
3003    001b.1700.0131    DYNAMIC     Po1
3003    0026.0bea.afb2    DYNAMIC     Po1
3003    7c0e.cef3.e942    DYNAMIC     Po3
3005    0000.0c9f.fbbd    DYNAMIC     Po1
3005    001b.1700.0131    DYNAMIC     Po1
3005    0026.0bea.afb2    DYNAMIC     Po1
3005    7c0e.cef3.e942    DYNAMIC     Po3
3007    0000.0c9f.fbbf    DYNAMIC     Po1
3007    001b.1700.0131    DYNAMIC     Po1
3007    0026.0bea.afb2    DYNAMIC     Po1
3007    7c0e.cef3.e942    DYNAMIC     Po3
3008    0000.0c9f.fbc0    DYNAMIC     Po1
3008    001b.1700.0131    DYNAMIC     Po1
3008    0026.0bea.afb2    DYNAMIC     Po1
3008    7c0e.cef3.e942    DYNAMIC     Po3
3010    0000.0c9f.fbc2    DYNAMIC     Po1
3010    001b.1700.0131    DYNAMIC     Po1
3010    0026.0bea.afb2    DYNAMIC     Po1
3010    7c0e.cef3.e942    DYNAMIC     Po3
3011    0000.0c9f.fbc3    DYNAMIC     Po1
3011    001b.1700.0131    DYNAMIC     Po1
3011    0026.0bea.afb2    DYNAMIC     Po1
3011    7c0e.cef3.e942    DYNAMIC     Po3
3012    0000.0c9f.fbc4    DYNAMIC     Po1
3012    001b.1700.0131    DYNAMIC     Po1
3012    0026.0bea.afb2    DYNAMIC     Po1
3012    7c0e.cef3.e942    DYNAMIC     Po3
3013    0000.0c9f.fbc5    DYNAMIC     Po1
3013    001b.1700.0131    DYNAMIC     Po1
3013    0026.0bea.afb2    DYNAMIC     Po1
3013    7c0e.cef3.e942    DYNAMIC     Po3
3014    0000.0c9f.fbc6    DYNAMIC     Po1
3014    001b.1700.0131    DYNAMIC     Po1
3014    0026.0bea.afb2    DYNAMIC     Po1
3014    7c0e.cef3.e942    DYNAMIC     Po3
3015    0000.0c9f.fbc7    DYNAMIC     Po1
3015    001b.1700.0131    DYNAMIC     Po1
3015    0026.0bea.afb2    DYNAMIC     Po1
3015    7c0e.cef3.e942    DYNAMIC     Po3
3016    0000.0c9f.fbc8    DYNAMIC     Po1
3016    001b.1700.0131    DYNAMIC     Po1
3016    0026.0bea.afb2    DYNAMIC     Po1
3017    0000.0c9f.fbc9    DYNAMIC     Po1
3017    001b.1700.0131    DYNAMIC     Po1
3017    0026.0bea.afb2    DYNAMIC     Po1
3017    7c0e.cef3.e942    DYNAMIC     Po3
3019    0000.0c9f.fbcb    DYNAMIC     Po1
3019    001b.1700.0131    DYNAMIC     Po1
3019    0026.0bea.afb2    DYNAMIC     Po1
3019    7c0e.cef3.e942    DYNAMIC     Po3
3020    0000.0c9f.fbcc    DYNAMIC     Po1
3020    001b.1700.0131    DYNAMIC     Po1
3020    0026.0bea.afb2    DYNAMIC     Po1
3020    7c0e.cef3.e942    DYNAMIC     Po3
3021    0000.0c9f.fbcd    DYNAMIC     Po1
3021    001b.1700.0131    DYNAMIC     Po1
3021    0026.0bea.afb2    DYNAMIC     Po1
3021    7c0e.cef3.e942    DYNAMIC     Po3
3022    0000.0c9f.fbce    DYNAMIC     Po1
3022    001b.1700.0131    DYNAMIC     Po1
3022    0026.0bea.afb2    DYNAMIC     Po1
3022    7c0e.cef3.e942    DYNAMIC     Po3
3023    0000.0c9f.fbcf    DYNAMIC     Po1
3023    001b.1700.0131    DYNAMIC     Po1
3023    0026.0bea.afb2    DYNAMIC     Po1
3023    7c0e.cef3.e942    DYNAMIC     Po3
3026    0000.0c9f.fbd2    DYNAMIC     Po1
3026    001b.1700.0131    DYNAMIC     Po1
3026    0026.0bea.afb2    DYNAMIC     Po1
3026    7c0e.cef3.e942    DYNAMIC     Po3
3027    0000.0c9f.fbd3    DYNAMIC     Po1
3027    001b.1700.0131    DYNAMIC     Po1
3027    0026.0bea.afb2    DYNAMIC     Po1
3027    7c0e.cef3.e942    DYNAMIC     Po3
3028    0000.0c9f.fbd4    DYNAMIC     Po1
3028    001b.1700.0131    DYNAMIC     Po1
3028    0026.0bea.afb2    DYNAMIC     Po1
3028    7c0e.cef3.e942    DYNAMIC     Po3
3029    0000.0c9f.fbd5    DYNAMIC     Po1
3029    001b.1700.0131    DYNAMIC     Po1
3029    0026.0bea.afb2    DYNAMIC     Po1
3029    7c0e.cef3.e942    DYNAMIC     Po3
3030    0000.0c9f.fbd6    DYNAMIC     Po1
3030    001b.1700.0131    DYNAMIC     Po1
3030    0026.0bea.afb2    DYNAMIC     Po1
3030    7c0e.cef3.e942    DYNAMIC     Po3
3031    0000.0c9f.fbd7    DYNAMIC     Po1
3031    001b.1700.0131    DYNAMIC     Po1
3031    0026.0bea.afb2    DYNAMIC     Po1
3031    7c0e.cef3.e942    DYNAMIC     Po3
3032    0000.0c9f.fbd8    DYNAMIC     Po1
3032    001b.1700.0131    DYNAMIC     Po1
3032    0026.0bea.afb2    DYNAMIC     Po1
3032    7c0e.cef3.e942    DYNAMIC     Po3
3033    0000.0c9f.fbd9    DYNAMIC     Po1
3033    001b.1700.0131    DYNAMIC     Po1
3033    0026.0bea.afb2    DYNAMIC     Po1
3033    7c0e.cef3.e942    DYNAMIC     Po3
3034    001b.1700.0131    DYNAMIC     Po1
3034    0026.0bea.afb2    DYNAMIC     Po1
3035    0000.0c9f.fbdb    DYNAMIC     Po1
3035    001b.1700.0131    DYNAMIC     Po1
3035    0026.0bea.afb2    DYNAMIC     Po1
3035    7c0e.cef3.e942    DYNAMIC     Po3
3036    0000.0c9f.fbdc    DYNAMIC     Po1
3036    001b.1700.0131    DYNAMIC     Po1
3036    0026.0bea.afb2    DYNAMIC     Po1
3036    7c0e.cef3.e942    DYNAMIC     Po3
3100    0000.0c9f.fc1c    DYNAMIC     Po1
3100    001b.1700.0131    DYNAMIC     Po1
3100    0026.0bea.afb2    DYNAMIC     Po1
3100    7c0e.cef3.e942    DYNAMIC     Po3
3100    7c0e.cef3.eb42    DYNAMIC     Po1
3105    0000.0c9f.fc21    DYNAMIC     Po1
3105    001b.1700.0131    DYNAMIC     Po1
3105    0026.0bea.afb2    DYNAMIC     Po1
3105    7c0e.cef3.e942    DYNAMIC     Po3
3106    0026.0bea.afb2    DYNAMIC     Po1
3107    0000.0c9f.fc23    DYNAMIC     Po1
3107    001b.1700.0131    DYNAMIC     Po1
3107    0026.0bea.afb2    DYNAMIC     Po1
3107    7c0e.cef3.e942    DYNAMIC     Po3
3108    0026.0bea.afb2    DYNAMIC     Po1
3109    0000.0c9f.fc25    DYNAMIC     Po1
3109    001b.1700.0131    DYNAMIC     Po1
3109    0026.0bea.afb2    DYNAMIC     Po1
3109    7c0e.cef3.e942    DYNAMIC     Po3
3114    0000.0c9f.fc2a    DYNAMIC     Po1
3114    001b.1700.0131    DYNAMIC     Po1
3114    0026.0bea.afb2    DYNAMIC     Po1
3114    7c0e.cef3.e942    DYNAMIC     Po3
3116    0026.0bea.afb2    DYNAMIC     Po1
3120    001b.1700.0131    DYNAMIC     Po1
3120    0026.0bea.afb2    DYNAMIC     Po1
3125    0000.0c9f.fc35    DYNAMIC     Po1
3125    001b.1700.0131    DYNAMIC     Po1
3125    0026.0bea.afb2    DYNAMIC     Po1
3125    7c0e.cef3.e942    DYNAMIC     Po3
3129    0000.0c9f.fc39    DYNAMIC     Po1
3129    001b.1700.0131    DYNAMIC     Po1
3129    0026.0bea.afb2    DYNAMIC     Po1
3129    7c0e.cef3.e942    DYNAMIC     Po3
3130    0000.0c9f.fc3a    DYNAMIC     Po1
3130    001b.1700.0131    DYNAMIC     Po1
3130    0026.0bea.afb2    DYNAMIC     Po1
3130    7c0e.cef3.e942    DYNAMIC     Po3
3133    0000.0c9f.fc3d    DYNAMIC     Po1
3133    001b.1700.0131    DYNAMIC     Po1
3133    0026.0bea.afb2    DYNAMIC     Po1
3133    7c0e.cef3.e942    DYNAMIC     Po3
3134    0000.0c9f.fc3e    DYNAMIC     Po1
3134    001b.1700.0131    DYNAMIC     Po1
3134    0026.0bea.afb2    DYNAMIC     Po1
3134    7c0e.cef3.e942    DYNAMIC     Po3
3138    0000.0c9f.fc42    DYNAMIC     Po1
3138    001b.1700.0131    DYNAMIC     Po1
3138    0026.0bea.afb2    DYNAMIC     Po1
3138    7c0e.cef3.e942    DYNAMIC     Po3
3143    0000.0c9f.fc47    DYNAMIC     Po1
3143    001b.1700.0131    DYNAMIC     Po1
3143    0026.0bea.afb2    DYNAMIC     Po1
3143    7c0e.cef3.e942    DYNAMIC     Po3
3144    0000.0c9f.fc48    DYNAMIC     Po1
3144    001b.1700.0131    DYNAMIC     Po1
3144    0026.0bea.afb2    DYNAMIC     Po1
3144    7c0e.cef3.e942    DYNAMIC     Po3
3145    0000.0c9f.fc49    DYNAMIC     Po1
3145    001b.1700.0131    DYNAMIC     Po1
3145    0026.0bea.afb2    DYNAMIC     Po1
3145    7c0e.cef3.e942    DYNAMIC     Po3
3250    0000.0c9f.f000    DYNAMIC     Po1
3250    001b.1700.0131    DYNAMIC     Po1
3250    0026.0bea.afb2    DYNAMIC     Po1
3250    0026.0bea.afc1    DYNAMIC     Po1
3250    0027.e3ac.fa2f    DYNAMIC     Po1
3250    0090.0b3f.c6b4    DYNAMIC     Gi0/45
3250    0090.0b3f.c702    DYNAMIC     Po1
3250    0866.1f04.450d    DYNAMIC     Po1
3250    5475.d050.5a6f    DYNAMIC     Po1
3250    70df.2f1a.ab73    DYNAMIC     Po1
3250    7c0e.cef3.e942    DYNAMIC     Po3
3250    7c0e.cef3.eb42    DYNAMIC     Po1
3250    c47d.4f3b.880f    DYNAMIC     Gi0/5
3018    0000.0c9f.fbca    DYNAMIC     Po1
3018    001b.1700.0131    DYNAMIC     Po1
3018    0026.0bea.afb2    DYNAMIC     Po1
3018    7c0e.cef3.e942    DYNAMIC     Po3
3251    0026.0bea.afb2    DYNAMIC     Po1
3252    0026.0bea.afb2    DYNAMIC     Po1
3252    5475.d050.5a72    DYNAMIC     Gi0/4
3252    c47d.4f3b.8812    DYNAMIC     Po1
3253    0026.0bea.afb2    DYNAMIC     Po1
3302    0026.0bea.afb2    DYNAMIC     Po1
3303    0026.0bea.afb2    DYNAMIC     Po1
3305    0026.0bea.afb2    DYNAMIC     Po1
3306    0026.0bea.afb2    DYNAMIC     Po1
3308    0026.0bea.afb2    DYNAMIC     Po1
3310    001b.1700.0131    DYNAMIC     Po1
3310    0026.0bea.afb2    DYNAMIC     Po1
3311    001b.1700.0131    DYNAMIC     Po1
3311    0026.0bea.afb2    DYNAMIC     Po1
3311    0050.5696.6ad3    DYNAMIC     Po1
3311    0050.5696.6f31    DYNAMIC     Po1
3311    0050.5696.8e52    DYNAMIC     Po1
3311    0050.5696.cd9b    DYNAMIC     Po1
3311    0050.5696.f2a2    DYNAMIC     Po1
3311    0050.56b0.17b0    DYNAMIC     Po1
3311    0050.56b0.7132    DYNAMIC     Po1
3311    0050.56b0.795c    DYNAMIC     Po1
3321    001b.1700.0131    DYNAMIC     Po1
3321    0026.0bea.afb2    DYNAMIC     Po1
3400    0026.0bea.afb2    DYNAMIC     Po1
3550    001b.1700.0131    DYNAMIC     Po1
3550    0026.0bea.afb2    DYNAMIC     Po1
3550    c47d.4f3b.8811    DYNAMIC     Gi0/3
3551    001b.1700.0131    DYNAMIC     Po1
3551    0026.0bea.afb2    DYNAMIC     Po1
3551    0050.56b0.081b    DYNAMIC     Po1
3552    0026.0bea.afb2    DYNAMIC     Po1
3553    001b.1700.0131    DYNAMIC     Po1
3553    0026.0bea.afb2    DYNAMIC     Po1
3553    0050.56b0.229e    DYNAMIC     Po1
3553    0050.56b0.3006    DYNAMIC     Po1
3553    0050.56b0.69ca    DYNAMIC     Po1
3110    0000.0c9f.fc26    DYNAMIC     Po1
3110    001b.1700.0131    DYNAMIC     Po1
3110    0026.0bea.afb2    DYNAMIC     Po1
3110    7c0e.cef3.e942    DYNAMIC     Po3
3554    001b.1700.0131    DYNAMIC     Po1
3554    0026.0bea.afb2    DYNAMIC     Po1
3322    001b.1700.0131    DYNAMIC     Po1
3322    0026.0bea.afb2    DYNAMIC     Po1
3000    0000.0c9f.fbb8    DYNAMIC     Po1
3000    001b.1700.0131    DYNAMIC     Po1
3000    0026.0bea.afb2    DYNAMIC     Po1
3000    7c0e.cef3.e942    DYNAMIC     Po3
3024    0000.0c9f.fbd0    DYNAMIC     Po1
3024    001b.1700.0131    DYNAMIC     Po1
3024    0026.0bea.afb2    DYNAMIC     Po1
3024    7c0e.cef3.e942    DYNAMIC     Po3
3004    0000.0c9f.fbbc    DYNAMIC     Po1
3004    001b.1700.0131    DYNAMIC     Po1
3004    0026.0bea.afb2    DYNAMIC     Po1
3004    7c0e.cef3.e942    DYNAMIC     Po3
3037    0000.0c9f.fbdd    DYNAMIC     Po3
3037    001b.1700.0131    DYNAMIC     Po1
3037    0026.0bea.afb2    DYNAMIC     Po1
3037    7c0e.cef3.eb42    DYNAMIC     Po1
3156    0000.0c9f.fc54    DYNAMIC     Po1
3156    001b.1700.0131    DYNAMIC     Po1
3156    0026.0bea.afb2    DYNAMIC     Po1
3156    7c0e.cef3.e942    DYNAMIC     Po3
3157    0000.0c9f.fc55    DYNAMIC     Po1
3157    001b.1700.0131    DYNAMIC     Po1
3157    0026.0bea.afb2    DYNAMIC     Po1
3157    7c0e.cef3.e942    DYNAMIC     Po3
3555    001b.1700.0131    DYNAMIC     Po1
3555    0026.0bea.afb2    DYNAMIC     Po1
3038    0026.0bea.afb2    DYNAMIC     Po1
3556    001b.1700.0131    DYNAMIC     Po1
3556    0026.0bea.afb2    DYNAMIC     Po1
3006    0000.0c9f.fbbe    DYNAMIC     Po1
3006    001b.1700.0131    DYNAMIC     Po1
3006    0026.0bea.afb2    DYNAMIC     Po1
3006    7c0e.cef3.e942    DYNAMIC     Po3
3254    0026.0bea.afb2    DYNAMIC     Po1
3254    0090.0b3f.c6b5    DYNAMIC     Gi0/46
3254    0090.0b3f.c703    DYNAMIC     Po1
3255    0026.0bea.afb2    DYNAMIC     Po1
3255    d4f4.be1e.6706    DYNAMIC     Gi0/47
3255    d4f4.be1f.b306    DYNAMIC     Po1
3102    0000.0c9f.fc1e    DYNAMIC     Po1
3102    001b.1700.0131    DYNAMIC     Po1
3102    0026.0bea.afb2    DYNAMIC     Po1
3102    7c0e.cef3.e942    DYNAMIC     Po3
3025    0000.0c9f.fbd1    DYNAMIC     Po1
3025    001b.1700.0131    DYNAMIC     Po1
3025    0026.0bea.afb2    DYNAMIC     Po1
3025    7c0e.cef3.e942    DYNAMIC     Po3
3158    0000.0c9f.fc56    DYNAMIC     Po1
3158    001b.1700.0131    DYNAMIC     Po1
3158    0026.0bea.afb2    DYNAMIC     Po1
3158    7c0e.cef3.e942    DYNAMIC     Po3
3159    0000.0c9f.fc57    DYNAMIC     Po1
