Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC
   VLAN     MAC Address      Type      age     Secure NTFY Ports
---------+-----------------+--------+---------+------+----+------------------
*  100     0000.0c9f.f064   dynamic  0         F      F    Po2
*  100     000c.2946.05c7   dynamic  0         F      F    Eth1/3
*  100     000c.2962.cf7e   dynamic  0         F      F    Eth1/3
*  100     0050.5662.b06d   dynamic  0         F      F    Po1
*  100     0050.5666.0698   dynamic  0         F      F    Eth1/3
*  100     0050.5668.c387   dynamic  0         F      F    Po1
*  100     0050.5669.6b95   dynamic  0         F      F    Po1
*  100     0050.566b.74db   dynamic  0         F      F    Eth1/3
*  100     0050.566e.af3c   dynamic  0         F      F    Eth1/3
*  100     0050.5696.0c4f   dynamic  0         F      F    Po1
*  100     0050.5696.121b   dynamic  0         F      F    Po1
*  100     0050.5696.697d   dynamic  0         F      F    Eth1/3
*  100     0050.5696.6c4d   dynamic  0         F      F    Po1
*  100     0050.5696.858f   dynamic  0         F      F    Po1
*  100     0050.5696.c367   dynamic  0         F      F    Eth1/3
*  100     0050.5696.e1d6   dynamic  0         F      F    Eth1/3
*  100     0050.5696.e812   dynamic  0         F      F    Eth1/3
*  100     00de.fbe4.59e1   dynamic  0         F      F    Po1
*  100     00de.fbe4.fb01   dynamic  0         F      F    Eth1/2
*  100     00de.fbe5.0341   dynamic  0         F      F    Eth1/1
*  100     00de.fbe5.0581   dynamic  0         F      F    Po1
*  100     7c0e.cef3.eb42   dynamic  0         F      F    Po2
* 3000     0000.0c9f.fbb8   dynamic  0         F      F    Po2
* 3000     001b.1700.0131   dynamic  0         F      F    Po2
* 3000     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3001     0000.0c9f.fbb9   dynamic  0         F      F    Po2
* 3001     001b.1700.0131   dynamic  0         F      F    Po2
* 3001     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3002     0000.0c9f.fbba   dynamic  0         F      F    Po2
* 3002     001b.1700.0131   dynamic  0         F      F    Po2
* 3002     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3003     0000.0c9f.fbbb   dynamic  0         F      F    Po2
* 3003     001b.1700.0131   dynamic  0         F      F    Po2
* 3003     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3004     0000.0c9f.fbbc   dynamic  0         F      F    Po2
* 3004     001b.1700.0131   dynamic  0         F      F    Po2
* 3004     7c0e.cef3.e942   dynamic  0         F      F    Po2
