          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 All    0180.c200.0001    STATIC      CPU
 All    0180.c200.0002    STATIC      CPU
 All    0180.c200.0003    STATIC      CPU
 All    0180.c200.0004    STATIC      CPU
 All    0180.c200.0005    STATIC      CPU
 All    0180.c200.0006    STATIC      CPU
 All    0180.c200.0007    STATIC      CPU
 All    0180.c200.0008    STATIC      CPU
 All    0180.c200.0009    STATIC      CPU
 All    0180.c200.000a    STATIC      CPU
 All    0180.c200.000b    STATIC      CPU
 All    0180.c200.000c    STATIC      CPU
 All    0180.c200.000d    STATIC      CPU
 All    0180.c200.000e    STATIC      CPU
 All    0180.c200.000f    STATIC      CPU
 All    0180.c200.0010    STATIC      CPU
 All    ffff.ffff.ffff    STATIC      CPU
3250    0000.0c9f.f000    DYNAMIC     Po3
3250    001b.1700.0131    DYNAMIC     Po10
3250    0026.0bea.9b41    DYNAMIC     Po1
3250    0027.e3ac.fa2f    DYNAMIC     Te0/2
3250    0090.0b3f.c6b4    DYNAMIC     Po1
3250    0090.0b3f.c702    DYNAMIC     Gi0/45
3250    0866.1f04.4396    DYNAMIC     Te0/2
3250    0866.1f04.450d    DYNAMIC     Te0/2
3250    5475.d050.5a6f    DYNAMIC     Gi0/6
3250    70df.2f1a.ab73    DYNAMIC     Te0/2
3250    70df.2f1a.aba0    DYNAMIC     Te0/2
3250    7c0e.cef3.e942    DYNAMIC     Po1
3250    7c0e.cef3.eb42    DYNAMIC     Po3
3250    c47d.4f3b.880f    DYNAMIC     Po1
3252    5475.d050.5a72    DYNAMIC     Po1
3252    70df.2f1a.aba0    DYNAMIC     Te0/2
3252    c47d.4f3b.8812    DYNAMIC     Gi0/4
3302    70df.2f1a.aba0    DYNAMIC     Te0/2
3303    70df.2f1a.aba0    DYNAMIC     Te0/2
3305    70df.2f1a.aba0    DYNAMIC     Te0/2
3306    70df.2f1a.aba0    DYNAMIC     Te0/2
3308    70df.2f1a.aba0    DYNAMIC     Te0/2
3310    001b.1700.0131    DYNAMIC     Po10
3310    70df.2f1a.aba0    DYNAMIC     Te0/2
3311    001b.1700.0131    DYNAMIC     Po10
3311    0050.5696.1947    DYNAMIC     Te0/2
3311    0050.5696.2c00    DYNAMIC     Te0/2
3311    0050.5696.6ad3    DYNAMIC     Te0/2
3311    0050.5696.6f31    DYNAMIC     Te0/2
3311    0050.5696.8e52    DYNAMIC     Te0/2
3311    0050.5696.9372    DYNAMIC     Te0/2
3311    0050.5696.cd9b    DYNAMIC     Te0/2
3311    0050.5696.f2a2    DYNAMIC     Te0/2
3311    0050.569e.001a    DYNAMIC     Te0/2
3311    0050.569e.001d    DYNAMIC     Te0/2
3311    0050.56a0.5fe7    DYNAMIC     Te0/2
3311    0050.56b0.04e9    DYNAMIC     Te0/2
3311    0050.56b0.07e0    DYNAMIC     Te0/2
3311    0050.56b0.17b0    DYNAMIC     Te0/2
3311    0050.56b0.1ec4    DYNAMIC     Te0/2
3311    0050.56b0.6f10    DYNAMIC     Te0/2
3311    0050.56b0.7132    DYNAMIC     Te0/2
3311    0050.56b0.795c    DYNAMIC     Te0/2
3311    70df.2f1a.aba0    DYNAMIC     Te0/2
3312    001b.1700.0131    DYNAMIC     Po10
3312    70df.2f1a.aba0    DYNAMIC     Te0/2
3321    001b.1700.0131    DYNAMIC     Po10
3321    70df.2f1a.aba0    DYNAMIC     Te0/2
3322    001b.1700.0131    DYNAMIC     Po10
3322    70df.2f1a.aba0    DYNAMIC     Te0/2
3400    70df.2f1a.aba0    DYNAMIC     Te0/2
3550    001b.1700.0131    DYNAMIC     Po10
3550    70df.2f1a.aba0    DYNAMIC     Te0/2
3550    c47d.4f3b.8811    DYNAMIC     Po1
3255    70df.2f1a.aba0    DYNAMIC     Te0/2
3255    d4f4.be1e.6706    DYNAMIC     Po1
3255    d4f4.be1f.b306    DYNAMIC     Gi0/47
3254    0090.0b3f.c6b5    DYNAMIC     Po1
3254    0090.0b3f.c703    DYNAMIC     Gi0/46
3254    70df.2f1a.aba0    DYNAMIC     Te0/2
3000    0000.0c9f.fbb8    DYNAMIC     Po3
3000    001b.1700.0131    DYNAMIC     Po10
3000    70df.2f1a.aba0    DYNAMIC     Te0/2
3000    7c0e.cef3.e942    DYNAMIC     Po1
3001    0000.0c9f.fbb9    DYNAMIC     Po3
3001    001b.1700.0131    DYNAMIC     Po10
3001    70df.2f1a.aba0    DYNAMIC     Te0/2
3001    7c0e.cef3.e942    DYNAMIC     Po1
3001    7c0e.cef3.eb42    DYNAMIC     Po3
3002    0000.0c9f.fbba    DYNAMIC     Po3
3002    001b.1700.0131    DYNAMIC     Po10
3002    70df.2f1a.aba0    DYNAMIC     Te0/2
3002    7c0e.cef3.e942    DYNAMIC     Po1
3002    7c0e.cef3.eb42    DYNAMIC     Po3
3003    0000.0c9f.fbbb    DYNAMIC     Po3
3003    001b.1700.0131    DYNAMIC     Po10
3003    70df.2f1a.aba0    DYNAMIC     Te0/2
3003    7c0e.cef3.e942    DYNAMIC     Po1
3004    0000.0c9f.fbbc    DYNAMIC     Po3
3004    001b.1700.0131    DYNAMIC     Po10
3004    70df.2f1a.aba0    DYNAMIC     Te0/2
3004    7c0e.cef3.e942    DYNAMIC     Po1
3004    7c0e.cef3.eb42    DYNAMIC     Po3
3005    0000.0c9f.fbbd    DYNAMIC     Po3
3005    001b.1700.0131    DYNAMIC     Po10
3005    70df.2f1a.aba0    DYNAMIC     Te0/2
3005    7c0e.cef3.e942    DYNAMIC     Po1
3005    7c0e.cef3.eb42    DYNAMIC     Po3
3006    0000.0c9f.fbbe    DYNAMIC     Po3
3006    001b.1700.0131    DYNAMIC     Po10
3006    70df.2f1a.aba0    DYNAMIC     Te0/2
3006    7c0e.cef3.e942    DYNAMIC     Po1
3006    7c0e.cef3.eb42    DYNAMIC     Po3
3007    0000.0c9f.fbbf    DYNAMIC     Po3
3007    001b.1700.0131    DYNAMIC     Po10
3007    70df.2f1a.aba0    DYNAMIC     Te0/2
3007    7c0e.cef3.e942    DYNAMIC     Po1
3007    7c0e.cef3.eb42    DYNAMIC     Po3
3008    0000.0c9f.fbc0    DYNAMIC     Po3
3008    001b.1700.0131    DYNAMIC     Po10
3008    70df.2f1a.aba0    DYNAMIC     Te0/2
3008    7c0e.cef3.e942    DYNAMIC     Po1
3008    7c0e.cef3.eb42    DYNAMIC     Po3
3009    0000.0c9f.fbc1    DYNAMIC     Po3
3009    001b.1700.0131    DYNAMIC     Po10
3009    70df.2f1a.aba0    DYNAMIC     Te0/2
3009    7c0e.cef3.e942    DYNAMIC     Po1
3009    7c0e.cef3.eb42    DYNAMIC     Po3
3010    0000.0c9f.fbc2    DYNAMIC     Po3
3010    001b.1700.0131    DYNAMIC     Po10
3010    70df.2f1a.aba0    DYNAMIC     Te0/2
3010    7c0e.cef3.e942    DYNAMIC     Po1
3010    7c0e.cef3.eb42    DYNAMIC     Po3
3011    0000.0c9f.fbc3    DYNAMIC     Po3
3011    001b.1700.0131    DYNAMIC     Po10
3011    70df.2f1a.aba0    DYNAMIC     Te0/2
3011    7c0e.cef3.e942    DYNAMIC     Po1
3012    0000.0c9f.fbc4    DYNAMIC     Po3
3012    001b.1700.0131    DYNAMIC     Po10
3012    70df.2f1a.aba0    DYNAMIC     Te0/2
3012    7c0e.cef3.e942    DYNAMIC     Po1
3013    0000.0c9f.fbc5    DYNAMIC     Po3
3013    001b.1700.0131    DYNAMIC     Po10
3013    70df.2f1a.aba0    DYNAMIC     Te0/2
3013    7c0e.cef3.e942    DYNAMIC     Po1
3014    0000.0c9f.fbc6    DYNAMIC     Po3
3014    001b.1700.0131    DYNAMIC     Po10
3014    70df.2f1a.aba0    DYNAMIC     Te0/2
3014    7c0e.cef3.e942    DYNAMIC     Po1
3014    7c0e.cef3.eb42    DYNAMIC     Po3
3015    0000.0c9f.fbc7    DYNAMIC     Po3
3015    001b.1700.0131    DYNAMIC     Po10
3015    70df.2f1a.aba0    DYNAMIC     Te0/2
3015    7c0e.cef3.e942    DYNAMIC     Po1
3015    7c0e.cef3.eb42    DYNAMIC     Po3
3016    0000.0c9f.fbc8    DYNAMIC     Po3
3016    001b.1700.0131    DYNAMIC     Po10
3016    70df.2f1a.aba0    DYNAMIC     Te0/2
3016    7c0e.cef3.eb42    DYNAMIC     Po3
3017    0000.0c9f.fbc9    DYNAMIC     Po3
3017    001b.1700.0131    DYNAMIC     Po10
3017    70df.2f1a.aba0    DYNAMIC     Te0/2
3017    7c0e.cef3.e942    DYNAMIC     Po1
3018    0000.0c9f.fbca    DYNAMIC     Po3
3018    001b.1700.0131    DYNAMIC     Po10
3018    70df.2f1a.aba0    DYNAMIC     Te0/2
3018    7c0e.cef3.e942    DYNAMIC     Po1
3018    7c0e.cef3.eb42    DYNAMIC     Po3
3019    0000.0c9f.fbcb    DYNAMIC     Po3
3019    001b.1700.0131    DYNAMIC     Po10
3019    70df.2f1a.aba0    DYNAMIC     Te0/2
3019    7c0e.cef3.e942    DYNAMIC     Po1
3019    7c0e.cef3.eb42    DYNAMIC     Po3
3020    0000.0c9f.fbcc    DYNAMIC     Po3
3020    001b.1700.0131    DYNAMIC     Po10
3020    70df.2f1a.aba0    DYNAMIC     Te0/2
3020    7c0e.cef3.e942    DYNAMIC     Po1
3020    7c0e.cef3.eb42    DYNAMIC     Po3
3021    0000.0c9f.fbcd    DYNAMIC     Po3
3021    001b.1700.0131    DYNAMIC     Po10
3021    70df.2f1a.aba0    DYNAMIC     Te0/2
3021    7c0e.cef3.e942    DYNAMIC     Po1
3022    0000.0c9f.fbce    DYNAMIC     Po3
3022    001b.1700.0131    DYNAMIC     Po10
3022    70df.2f1a.aba0    DYNAMIC     Te0/2
3022    7c0e.cef3.e942    DYNAMIC     Po1
3023    0000.0c9f.fbcf    DYNAMIC     Po3
3023    001b.1700.0131    DYNAMIC     Po10
3023    70df.2f1a.aba0    DYNAMIC     Te0/2
3023    7c0e.cef3.e942    DYNAMIC     Po1
3024    0000.0c9f.fbd0    DYNAMIC     Po3
3024    001b.1700.0131    DYNAMIC     Po10
3024    70df.2f1a.aba0    DYNAMIC     Te0/2
3024    7c0e.cef3.e942    DYNAMIC     Po1
3025    0000.0c9f.fbd1    DYNAMIC     Po3
3025    001b.1700.0131    DYNAMIC     Po10
3025    70df.2f1a.aba0    DYNAMIC     Te0/2
3025    7c0e.cef3.e942    DYNAMIC     Po1
3025    7c0e.cef3.eb42    DYNAMIC     Po3
3026    0000.0c9f.fbd2    DYNAMIC     Po3
3026    001b.1700.0131    DYNAMIC     Po10
3026    70df.2f1a.aba0    DYNAMIC     Te0/2
3026    7c0e.cef3.e942    DYNAMIC     Po1
3026    7c0e.cef3.eb42    DYNAMIC     Po3
3027    0000.0c9f.fbd3    DYNAMIC     Po3
3027    001b.1700.0131    DYNAMIC     Po10
3027    70df.2f1a.aba0    DYNAMIC     Te0/2
3027    7c0e.cef3.e942    DYNAMIC     Po1
3028    0000.0c9f.fbd4    DYNAMIC     Po3
3028    001b.1700.0131    DYNAMIC     Po10
3028    70df.2f1a.aba0    DYNAMIC     Te0/2
3028    7c0e.cef3.e942    DYNAMIC     Po1
3028    7c0e.cef3.eb42    DYNAMIC     Po3
3029    0000.0c9f.fbd5    DYNAMIC     Po3
3029    001b.1700.0131    DYNAMIC     Po10
3029    70df.2f1a.aba0    DYNAMIC     Te0/2
3029    7c0e.cef3.e942    DYNAMIC     Po1
3030    0000.0c9f.fbd6    DYNAMIC     Po3
3030    001b.1700.0131    DYNAMIC     Po10
3030    70df.2f1a.aba0    DYNAMIC     Te0/2
3030    7c0e.cef3.e942    DYNAMIC     Po1
3031    0000.0c9f.fbd7    DYNAMIC     Po3
3031    001b.1700.0131    DYNAMIC     Po10
3031    70df.2f1a.aba0    DYNAMIC     Te0/2
3031    7c0e.cef3.e942    DYNAMIC     Po1
3032    0000.0c9f.fbd8    DYNAMIC     Po3
3032    001b.1700.0131    DYNAMIC     Po10
3032    70df.2f1a.aba0    DYNAMIC     Te0/2
3032    7c0e.cef3.e942    DYNAMIC     Po1
3032    7c0e.cef3.eb42    DYNAMIC     Po3
3033    0000.0c9f.fbd9    DYNAMIC     Po3
3033    001b.1700.0131    DYNAMIC     Po10
3033    70df.2f1a.aba0    DYNAMIC     Te0/2
3033    7c0e.cef3.e942    DYNAMIC     Po1
3033    7c0e.cef3.eb42    DYNAMIC     Po3
3034    001b.1700.0131    DYNAMIC     Po10
3034    70df.2f1a.aba0    DYNAMIC     Te0/2
3035    0000.0c9f.fbdb    DYNAMIC     Po3
3035    001b.1700.0131    DYNAMIC     Po10
3035    70df.2f1a.aba0    DYNAMIC     Te0/2
3035    7c0e.cef3.e942    DYNAMIC     Po1
3035    7c0e.cef3.eb42    DYNAMIC     Po3
3036    0000.0c9f.fbdc    DYNAMIC     Po3
3036    001b.1700.0131    DYNAMIC     Po10
3036    70df.2f1a.aba0    DYNAMIC     Te0/2
3036    7c0e.cef3.e942    DYNAMIC     Po1
3037    0000.0c9f.fbdd    DYNAMIC     Po1
3037    001b.1700.0131    DYNAMIC     Po10
3037    70df.2f1a.aba0    DYNAMIC     Te0/2
3037    7c0e.cef3.eb42    DYNAMIC     Po3
3038    70df.2f1a.aba0    DYNAMIC     Te0/2
3039    0000.0c9f.fbdf    DYNAMIC     Po3
3039    001b.1700.0131    DYNAMIC     Po10
3039    70df.2f1a.aba0    DYNAMIC     Te0/2
3039    7c0e.cef3.e942    DYNAMIC     Po1
3040    0000.0c9f.fbe0    DYNAMIC     Po3
3040    001b.1700.0131    DYNAMIC     Po10
3040    70df.2f1a.aba0    DYNAMIC     Te0/2
3040    7c0e.cef3.e942    DYNAMIC     Po1
3040    7c0e.cef3.eb42    DYNAMIC     Po3
3041    0000.0c9f.fbe1    DYNAMIC     Po3
3041    001b.1700.0131    DYNAMIC     Po10
3041    70df.2f1a.aba0    DYNAMIC     Te0/2
3041    7c0e.cef3.e942    DYNAMIC     Po1
3042    0000.0c9f.fbe2    DYNAMIC     Po3
3042    001b.1700.0131    DYNAMIC     Po10
3042    70df.2f1a.aba0    DYNAMIC     Te0/2
3042    7c0e.cef3.eb42    DYNAMIC     Po3
3043    0000.0c9f.fbe3    DYNAMIC     Po3
3043    001b.1700.0131    DYNAMIC     Po10
3043    70df.2f1a.aba0    DYNAMIC     Te0/2
3043    7c0e.cef3.e942    DYNAMIC     Po1
3043    7c0e.cef3.eb42    DYNAMIC     Po3
3044    0000.0c9f.fbe4    DYNAMIC     Po3
3044    001b.1700.0131    DYNAMIC     Po10
3044    70df.2f1a.aba0    DYNAMIC     Te0/2
3044    7c0e.cef3.e942    DYNAMIC     Po1
3044    7c0e.cef3.eb42    DYNAMIC     Po3
3045    0000.0c9f.fbe5    DYNAMIC     Po3
3045    001b.1700.0131    DYNAMIC     Po10
3045    70df.2f1a.aba0    DYNAMIC     Te0/2
3045    7c0e.cef3.e942    DYNAMIC     Po1
3045    7c0e.cef3.eb42    DYNAMIC     Po3
3046    0000.0c9f.fbe6    DYNAMIC     Po3
3046    001b.1700.0131    DYNAMIC     Po10
3046    70df.2f1a.aba0    DYNAMIC     Te0/2
3046    7c0e.cef3.e942    DYNAMIC     Po1
3046    7c0e.cef3.eb42    DYNAMIC     Po3
3047    0000.0c9f.fbe7    DYNAMIC     Po3
3047    001b.1700.0131    DYNAMIC     Po10
3047    70df.2f1a.aba0    DYNAMIC     Te0/2
3047    7c0e.cef3.e942    DYNAMIC     Po1
3047    7c0e.cef3.eb42    DYNAMIC     Po3
3048    0000.0c9f.fbe8    DYNAMIC     Po3
3048    001b.1700.0131    DYNAMIC     Po10
3048    70df.2f1a.aba0    DYNAMIC     Te0/2
3048    7c0e.cef3.e942    DYNAMIC     Po1
3048    7c0e.cef3.eb42    DYNAMIC     Po3
3049    0000.0c9f.fbe9    DYNAMIC     Po3
3049    001b.1700.0131    DYNAMIC     Po10
3050    0000.0c9f.fbea    DYNAMIC     Po3
